fid,ID,FEATCODE,layer,area,BUA22NM
84,B9C8EFE8-C435-42D6-9619-C16AAA1CD0BE,25612,SJ_Foreshore,36958,Warrington
85,486E707E-596B-444F-B138-B0C04D9CE0D9,25612,TQ_Foreshore,109392,Brighton and Hove
86,7275C3F5-E227-4692-897A-2DB076997992,25612,SD_Foreshore,41676,Morecambe
87,1B4E41F9-826C-4527-8DDD-924A427BE5E1,25612,SZ_Foreshore,8481,Newport (Isle of Wight)
88,234D1C69-E55E-4C9A-B8D4-81972DF4CC29,25612,ST_Foreshore,233017,Newport (Newport)
89,2C974B56-9613-4467-BFBE-A15DD7E6E4FE,25612,SD_Foreshore,46006,Fleetwood
90,A92E0D92-B1BF-4A4D-BC4C-A18D88D6B3E2,25612,NJ_Foreshore,83909,Aberdeen
91,AB7E6BC8-3732-43B3-A758-D6F25971F4AD,25612,NZ_Foreshore,36275,Stockton-on-Tees
92,C69C25C7-0C9C-4F6C-A9D4-71767C4D120A,25612,NS_Foreshore,79957,Glasgow
93,D1BF24EF-663F-429F-AC4E-C4463D479AD9,25612,TA_Foreshore,143425,Scarborough
94,25F53E34-63B0-479D-812D-8D7CF5862DFD,25612,NZ_Foreshore,84958,Whitley Bay
95,CD769A90-9803-4619-AD74-7C03CEC33942,25612,SJ_Foreshore,59427,Chester
96,ABC61A84-77F5-4055-AB94-EA029B119185,25612,SD_Foreshore,45143,Preston (Preston)
97,4D039FBA-1B0D-4DCA-B4EA-FF20112318AA,25612,TQ_Foreshore,51044,Larkfield
98,8F220AC5-8AAB-4850-B416-19E9285BAF77,25612,SU_Foreshore,111,Aldershot
99,29FBF9D0-95FF-4226-A2FF-DEEA83401770,25612,SU_Foreshore,11078,Havant
100,8C7DD614-9582-48F3-8777-5A23FB6A334F,25612,NZ_Foreshore,496457,Blyth (Northumberland)
101,8F77D324-ADD6-4EC5-9CA0-FC1F2CAA1718,25612,ST_Foreshore,35798,Barry (Vale of Glamorgan)
102,AC10C996-398D-4EF9-BBD9-6988BF4A8F6C,25612,NZ_Foreshore,271411,Sunderland
103,C6EE3C4B-74FD-419B-95A0-7694DC55C177,25612,SJ_Foreshore,491,Wrexham
104,ABC61A84-77F5-4055-AB94-EA029B119185,25612,SD_Foreshore,9373,Bamber Bridge
105,F0A31648-BBC8-47E7-9B89-862EC7265E22,25612,NT_Foreshore,94018,Kirkcaldy
106,DC1D2DA4-9655-454E-8932-735ABA814957,25612,TQ_Foreshore,669658,Bexley
107,3ECC8AEB-1161-4394-BA6D-07728F0AF847,25612,TQ_Foreshore,363868,Tower Hamlets
108,1436AB03-616D-45E2-BE2D-BBDB21DBE1FA,25612,TQ_Foreshore,211121,Gravesend
109,18D802F0-C730-4258-8865-5402F352897D,25612,SS_Foreshore,19839,Port Talbot
110,85DE3CBB-A4A4-43A0-BC2B-75239E1B7252,25612,NS_Foreshore,24861,Paisley
