name,200m_buff_area,class
Sudbury,12739891,inland
Sunderland,56763065,coastal
Sutton (Sutton),48654888,inland
Sutton in Ashfield,16888661,inland
Swadlincote,14848597,inland
Swansea,75331573,coastal
Swindon (Swindon),55963635,inland
Tadworth and Epsom Downs,14704502,inland
Tamworth,29451197,inland
Taunton,24260978,inland
Telford,82633073,inland
Thetford,11306568,inland
Thornaby-on-Tees,11827035,inland
Thundersley and South Benfleet,21311572,inland
Tilbury,3576674,estuarine
Tipton,13302687,inland
Tonbridge,16258552,inland
Torquay,19849963,coastal
Totton,12223606,inland
Tower Hamlets,26240600,inland
Trowbridge,15895825,inland
Truro,13069823,inland
Tynemouth,22564747,coastal
Urmston,13952079,inland
Wakefield,42171027,inland
Wallasey,25922657,coastal
Wallsend,14517394,inland
Walsall,20643232,inland
Waltham Forest,38181957,inland
Wandsworth,38995369,inland
Warrington,71549666,inland
Warwick,18243835,inland
Washington,25772089,inland
Waterlooville,13321281,inland
Watford (Watford),34508431,inland
Wath upon Dearne,12080054,inland
Wellingborough,22409882,inland
Welwyn Garden City,19718109,inland
West Bridgford,11876714,inland
West Bromwich,31614597,inland
West Molesey,18133803,inland
Weston-super-Mare,27301094,coastal
Weymouth,28878797,coastal
Whitehaven,12961127,coastal
Whitley Bay,11074174,coastal
Whitstable,16410917,coastal
Wickersley and Bramley,11577317,inland
Widnes,30113990,estuarine
Wigan,27344139,inland
Wigston,11858292,inland
Willenhall,16010045,inland
Willerby and Anlaby,10357807,inland
Wilmslow,14651275,inland
Winchester,20744059,inland
Windsor,11941616,inland
Winsford,16579760,inland
Wisbech,15235135,inland
Wishaw,14075339,inland
Witham,10871552,inland
Witney,12114989,inland
Woking,28489497,inland
Wokingham,25935724,inland
Wolverhampton,75549638,inland
Worcester,37103874,inland
Workington,12222072,coastal
Worksop,21196193,inland
Worthing,29524291,coastal
Wrexham,17446700,inland
Wythenshawe,32236678,inland
Yate,12701584,inland
Yeovil,19579469,inland
York,42388081,inland
