"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total","Littoral sediment_1","Saltwater_1","Freshwater_1","total_cover","green","blue","grey","bgg_check","perc_green","perc_blue","perc_grey"
"Crosby (Sefton)",345368.0844,0,1382809.471,923643.876,958910.5844,0,0,0,0,0,100.0690447,0,0,2229.887574,0,691994.055,0,412342.1022,25555.3652,4443154.174,6329256.083,15515363.7518187,760453,29126,313836,11517881,16618778,"coastal",50215,53.48848712,-3.022915217,4.683341167,"england",16618778.7518187,441468.1022,313836,762682.887574,16618778.7518187,3610732.0158,2235636.4790187,10772410.257,16618778.7518187,21.7268192189204,13.4524715227588,64.8207092583208
"Crowborough",2826123.681,598346.9989,97403.99671,3593332.822,0,1800.412996,0,0,4000.953416,790818.8839,0,2000.449781,0,2208.906402,0,0,0,0,0,214507.7017,7685714.222,15816259.028805,47286,0,0,8843922,15864046,"inland",21990,51.05282686,0.163522489,8.937909448,"england",15863545.028805,0,0,49494.906402,15863545.028805,7913828.198703,49494.906402,7900221.9237,15863545.028805,49.8868833185337,0.312004071675828,49.8011126097905
"Croydon",8819337.772,647597.3659,1081177.152,13556162.34,0,155022.6936,0,0,62300.82143,292296.4933,0,0,0,27583.19895,0,0,0,0,0,13235460.08,52382173.35,90259111.26718,75156,0,0,69210052,90334468,"inland",390800,51.35067514,-0.083006572,5.877830851,"england",90334267.26718,0,0,102739.19895,90334267.26718,24613894.63823,102739.19895,65617633.43,90334267.26718,27.2475721371934,0.113732254722486,72.6386956080841
"Cumbernauld",7441324.995,7335.741215,2013350.183,3657732.166,12101.53811,0,0,0,4088.585953,67865.2762,20314.35765,700.2897711,0,3066.785248,0,0,0,0,0,2210146.291,12826494.99,28264521.1991471,329102,0,0,15443925,28593623,"inland",50340,55.94647094,-4.000514173,6.086786634,"scotland",28593623.1991471,0,0,332168.785248,28593623.1991471,13204498.7752491,352483.142898,15036641.281,28593623.1991471,46.1798726355286,1.23273339808337,52.587393966388
"Cwmbrân",2806570.471,147844.4011,444487.479,3069646.836,167.6407537,6069.039352,651665.4346,139.6468668,253056.8611,0,0,62026.77315,0,8272.89355,0,0,0,0,0,1283260.48,12111112.82,20844320.7764725,183561,0,0,14638609,21027798,"inland",10604,51.64879845,-3.028555876,5.605339546,"wales",21027881.7764725,0,0,191833.89355,21027881.7764725,7441534.9360557,191973.5404168,13394373.3,21027881.7764725,35.3888946835426,0.912947592427468,63.6981577240299
"Darlington",2346540.087,0,4998846.011,4212750.577,1601.240378,400.3112699,0,0,0,2087.047054,0,300.2325937,0,10440.6487,0,0,0,0,0,4107639.435,18412162.25,34092767.8399956,327601,0,0,24767986,34420368,"inland",93015,54.52796007,-1.554631974,5.141027211,"england",34420368.8399956,0,0,338041.6487,34420368.8399956,11562525.5062956,338041.6487,22519801.685,34420368.8399956,33.5921022811941,0.98209769416301,65.4258000246428
"Dartford",1608335.554,20463.28002,1867550.868,2512302.181,0,358362.1012,0,872002.6282,0,0,0,0,912.1274721,71232.11297,0,13402.59615,0,1600.308596,170543.3125,8410602.775,7028727.72,22936037.5651081,423671,150514,479249,15038155,23989472,"inland",69130,51.44598543,0.236109278,5.157408694,"england",23989471.5651081,152114.308596,480161.1274721,494903.11297,23989471.5651081,6367013.98422,2183127.0858881,15439330.495,23989471.5651081,26.5408680092838,9.10035504518318,64.3587769455331
"Darwen",946560.2862,475187.817,287787.2862,2285747.635,38215.70358,500.3876412,244072.3292,1000.775188,214263.7237,228046.553,0,22671.60162,0,9227.575845,0,0,0,0,0,2054103.11,4233016.935,11040401.7191742,75363,0,0,6775245,11115765,"inland",27900,53.69745969,-2.466636706,3.454092589,"england",11115764.7191742,0,0,84590.575845,11115764.7191742,4743053.3231412,85591.351033,6287120.045,11115764.7191742,42.6696088210615,0.769999664398786,56.5603915145397
"Daventry",784997.5244,2755.243965,2241855.77,1987067.649,5477.553284,0,0,100.0715821,0,0,0,0,0,25316.9167,0,0,0,0,0,2871384.835,5718215.56,13637171.1239311,234938,10,0,9117796,13872309,"inland",27790,52.26304809,-1.167355095,5.742441375,"england",13872119.1239311,10,0,260254.9167,13872119.1239311,5022153.740649,260364.9882821,8589600.395,13872119.1239311,36.2032195354001,1.87689412090571,61.9198863436942
"Denton (Tameside)",1403652.011,0,346043.3798,1370869.396,51523.67162,0,0,33572.29817,0,0,300.2390179,0,0,14695.15677,0,0,0,0,0,1972890.4,6061546.108,11255092.6603779,374479,0,0,7381499,11629571,"inland",35995,53.45158633,-2.118369402,3.849338617,"england",11629571.6603779,0,0,389174.15677,11629571.6603779,3172088.45842,423046.6939579,8034436.508,11629571.6603779,27.2760558260916,3.63768078749818,69.0862633864103
