"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total"
"Bexley",4239079.229,192670.9112,1490499.033,7536356.686,0,173781.9058,0,1134873.094,0,0,0,0,0,96181.04419,0,2600.575941,0,6786.184059,224683.6802,18369455.17,27624351.83,61091319.34339,526414,669658,951206,47579644,63433991,"inland",246500,51.46868654,0.147418429,6.433522585,"england",63238597.34339
"Bicester",658614.7966,31173.69668,2234733.979,2803697.409,415342.9342,0,0,85438.55421,0,0,0,0,0,26330.44916,0,0,0,0,0,2814896.544,6959868.881,16030097.24385,101407,0,0,9957108,16131505,"inland",37755,51.89915825,-1.154065078,7.554539486,"england",16131504.24385
"Billericay",1940760.701,25268.57273,1686732.421,2992897.84,0,79244.22084,0,0,0,0,0,0,0,17481.35892,0,0,0,0,0,402817.9635,7603307.17,14748510.24799,53307,0,0,8215244,14801817,"inland",34075,51.6287069,0.423554978,9.035610511,"england",14801817.24799
"Billingham",1075034.86,0,1056943.887,1019403.092,505667.7424,0,0,304.5726167,0,4734.848117,0,0,61.62739071,7248.063509,0,3659.366933,1501.10475,500.3684436,6342.200526,7089841.789,7713269.16,18484512.682686,253453,89384,586447,12498671,19414987,"inland",33920,54.59882639,-1.271412609,3.931263986,"england",19413796.682686
"Bilston (Wolverhampton)",533961.4156,6416.0266,232033.3152,717530.406,9242.620604,0,0,0,0,0,0,0,0,50944.05381,0,0,0,0,0,4684585.474,5719488.992,11954202.303814,201478,0,0,8440475,12155681,"inland",34640,52.56327564,-2.073643476,1.819130063,"england",12155680.303814
"Birkenhead",1706843.334,0,463634.923,1098022.052,3460419.382,0,0,0,0,0,2001.336814,0,0,7784.459217,0,44203.8429,0,1079739.397,69843.02901,7757142.125,17826134.89,33515768.770941,720449,25826,8837,26582372,34270878,"estuarine",109835,53.38475077,-3.058117141,3.211015198,"england",34270880.770941
"Birmingham",9996804.845,376954.3835,7982922.982,23574885.02,200807.357,2584.57838,0,166589.09,17813.89979,0,0,0,0,737883.4715,0,0,0,0,0,71414691.16,139954868.2,254426804.98717,2804206,24,0,221080752,257231936,"inland",1121375,52.4804928,-1.861740354,2.813089177,"england",257231034.98717
"Bishop's Stortford",1359531.47,19384.43227,2823786.425,3095273.309,0,0,8682.215615,0,0,0,0,0,0,28453.16013,0,0,0,0,0,1690153.951,7669852.135,16695117.098015,132973,0,0,10065054,16828090,"inland",40915,51.8691223,0.162074258,9.222189347,"england",16828090.098015
"Bishop Auckland",1072555.327,0,1942224.149,2720559.183,0,2301.811263,100.0789012,0,200.1577173,2707.360632,0,0,0,966.6276304,0,0,0,0,0,1018033.096,5535389.958,12295037.7491439,99446,0,0,6680883,12394484,"inland",23355,54.64999571,-1.692936152,3.292972756,"england",12394483.7491439
"Blackburn (Blackburn with Darwen)",3563430.48,166511.517,1546553.146,10091880.28,56661.40001,0,130046.5519,300.2325865,24694.86138,14713.96687,0,0,0,23677.29245,0,0,0,0,0,8277026.343,17875465.94,41770962.0111965,631551,110,0,31028976,42402723,"inland",124955,53.74654512,-2.48413445,3.934307051,"england",42402623.0111965
